package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,CITY,,text,499,Barking and Dagenham | Barnet | Bexley | Brent | Bromley,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,Year,,numeric,499,1801 | 1802 | 1803 | 1804 | 1805,1801,1816,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,POP,,numeric,499,1937.0 | 6404.0 | 4165.0 | 2022.0 | 8944.0,1937,262692.8,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,Area,,numeric,499,37.7788998887 | 86.7364343416 | 64.2634764639 | 43.2352883776 | 150.145136914,3.15146558017,150.145136914,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,POPDEN,,numeric,499,51.2720064826 | 73.8328713719 | 64.8113085251 | 46.7673531477 | 59.5690288998,46.7673531477,41287.7744306,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,ST_DATE,,numeric,499,18010101 | 18020101 | 18030101 | 18040101 | 18050101,18010101,18160101,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,End_Date,,numeric,499,18020101 | 18030101 | 18040101 | 18050101 | 18060101,18020101,18170101,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,UNID,,numeric,499,0.0 | 1.0 | 2.0 | 3.0 | 4.0,0,498,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Borough_pop_year,column_9,,text,499,"1801,Barking and Dagenham | 1801,Barnet | 1801,Bexley | 1801,Brent | 1801,Bromley",,,xls,medium,Some headers were missing; generated column_N names. Sampled first 500 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Underground_stations,FID_1,,numeric,340,70.0 | 73.0 | 79.0 | 80.0 | 118.0,0,339,xls,medium,Headers inferred from first row. Sampled first 341 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Underground_stations,ID_WIKIPED,,numeric,340,15.0 | 21.0 | 66.0 | 67.0 | 269.0,1,303,xls,medium,Headers inferred from first row. Sampled first 341 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Underground_stations,LINE,,text,340,District | Hammersmi | Northern | Bakerloo | Jubilee,,,xls,medium,Headers inferred from first row. Sampled first 341 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Underground_stations,STATION,,text,340,Barking | Becontree | Dagenham | Upney | Brent Cro,,,xls,medium,Headers inferred from first row. Sampled first 341 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Underground_stations,YEAR,,numeric,340,1902.0 | 1932.0 | 1923.0 | 1924.0 | 1939.0,1863,1999,xls,medium,Headers inferred from first row. Sampled first 341 non-empty rows from worksheet.
paper-2008-03,Density And Dispersion: The Co-Development Of Land Use And Rail In London,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2008-03-density-and-dispersion-the-co-development-of-land-use-and-rail-in-london,data/borough_analysis_workbooks/London_analysis2.xls,Underground_stations,CITY,,text,340,Barking and Dagenham | Barnet | Brent | Camden | City of London,,,xls,medium,Headers inferred from first row. Sampled first 341 non-empty rows from worksheet.
