Name,Local authority,Zone,Opening,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,POP-Density-1841,POP-Density-1851,POP-Density-1861,POP-Density-1871,POP-Density-1881,POP-Density-1891,POP-Density-1901,POP-Density-1911,POP-Density-1921,POP-Density-1931,POP-Density-1941,POP-Density-1951,POP-Density-1961,POP-Density-1971,POP-Density-1981,POP-Density-1991,POP-Density-2001,Distance to City of London (miles),"North of Thames [1,0]",NorthDistance,SouthDistance,Areasqkm,ID-Rail,CumulativeRailStationsAtDate,ID-Tube,CumulativeTubeStationsAtDate,PopDensityAtDate,PopDensRank1841
Deptford railway station,Lewisham,,1836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,1,1,9999,0,927,11
Greenwich station,Greenwich,2,1836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,1,1,9999,0,809,12
London Bridge railway station,Southwark,1,1836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,1,2,9999,0,5093,6
Spa Road railway station,Southwark,,1836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,1,2,9999,0,5093,6
Euston station,Camden,1,1837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,2,1,9999,0,10502,5
Harrow & Wealdstone station,Harrow,5,1837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,118,118,147,176,204,242,449,833,1277,1955,2905,4316,4169,4028,3886,4037,15,1,15,0,50,2,1,9999,0,115,30
Clapham Junction railway station,Wandsworth,2,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,3,2,9999,0,699,13
Ealing Broadway railway station,Ealing,3,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,3,1,9999,0,197,22
New Malden railway station,Kingston,4,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,3,3,9999,0,257,17
Paddington station,Westminster,1,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17175,19686,19686,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,3,1,9999,0,17175,2
