administrative_district,year,population_density,log_popdens,normalized_local_density,normalized_london_density,share_of_london_pop,tubestationsperperson,map_code,tube_stations_add,tube_stations_cum,train_stations,tube_station_density,train_station_density,area,population,ring,year_1801,year_1811,year_1821,year_1831,year_1841,year_1851,year_1861,year_1871,year_1881,year_1891,year_1901,year_1911,year_1921,year_1931,year_1941,year_1951,year_1961,year_1971,year_1981,year_1991,year_2001,barking_and_dagenham,barnet,bexley,brent,bromley,camden,city_of_london,croydon,ealing,enfield,greenwich,hackney,hammersmith_and_fulham,haringey,harrow,havering,hillingdon,hounslow,islington,kensington_and_chelsea,kingston_upon_thames,lambeth,lewisham,merton,newham,redbridge,richmond_upon_thames,southwark,sutton,tower_hamlets,waltham_forest,wandsworth,westminster,logtsd,pop_dens_10yearsago,pop_dens_20yearsago,pop_dens_10yearsfuture,pop_dens_20yearsfuture
Barking and Dagenham,1801,54,3.98,0.01,0,0,0,25,0,0,,0,,36.09,1937,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,86
Barking and Dagenham,1811,73,4.3,0.02,0,0,0,25,0,0,,0,,36.09,2647,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,86,104
Barking and Dagenham,1821,86,4.46,0.02,0,0,0,25,0,0,,0,,36.09,3110,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,54,104,115
Barking and Dagenham,1831,104,4.64,0.02,0,0,0,25,0,0,,0,,36.09,3746,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,73,115,133
Barking and Dagenham,1841,115,4.75,0.02,0,0,0,25,0,0,,0,,36.09,4151,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,86,133,166
Barking and Dagenham,1851,133,4.89,0.03,0,0,0,25,0,0,,0,,36.09,4804,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,104,166,198
Barking and Dagenham,1861,166,5.11,0.04,0,0,0,25,0,0,,0,,36.09,5983,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,115,198,231
Barking and Dagenham,1871,198,5.29,0.04,0,0,0,25,0,0,,0,,36.09,7162,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,133,231,462
Barking and Dagenham,1881,231,5.44,0.05,0,0,0,25,0,0,,0,,36.09,8341,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,166,462,695
Barking and Dagenham,1891,462,6.13,0.1,0.01,0,0,25,1,1,,0.0277085,,36.09,16658,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273316,231,198,695,1046
