administrative_district,year,population_density,log_popdens,normalized_local_density,normalized_london_density,share_of_london_pop,tubestationsperperson,map_code,tube_stations_add,tube_stations_cum,train_stations,tube_station_density,train_station_density,area,population,ring,year_1801,year_1811,year_1821,year_1831,year_1841,year_1851,year_1861,year_1871,year_1881,year_1891,year_1901,year_1911,year_1921,year_1931,year_1941,year_1951,year_1961,year_1971,year_1981,year_1991,year_2001,barking_and_dagenham,barnet,bexley,brent,bromley,camden,city_of_london,croydon,ealing,enfield,greenwich,hackney,hammersmith_and_fulham,haringey,harrow,havering,hillingdon,hounslow,islington,kensington_and_chelsea,kingston_upon_thames,lambeth,lewisham,merton,newham,redbridge,richmond_upon_thames,southwark,sutton,tower_hamlets,waltham_forest,wandsworth,westminster,logtsd,pop_dens_10yearsago,pop_dens_20yearsago,pop_dens_10yearsfuture,pop_dens_20yearsfuture
Barking and Dagenham,1901,695,6.54,0.15,0.01,0,0,25,0,1,,0.0277085,,36.09,25080,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273316,462,231,1046,1876
Barking and Dagenham,1911,1046,6.95,0.22,0.02,0.01,0,25,2,3,,0.0831255,,36.09,37759,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798509,695,462,1876,3364
Barking and Dagenham,1921,1876,7.54,0.4,0.04,0.01,0,25,0,3,,0.0831255,,36.09,67708,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798509,1046,695,3364,3966
Barking and Dagenham,1931,3364,8.12,0.72,0.07,0.01,0,25,1,4,,0.110834,,36.09,121410,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1051111,1876,1046,3966,4675
Barking and Dagenham,1941,3966,8.29,0.85,0.08,0.02,0,25,2,6,,0.166251,,36.09,143122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1537944,3364,1876,4675,4562
Barking and Dagenham,1951,4675,8.45,1,0.09,0.02,0,25,0,6,,0.166251,,36.09,168724,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1537944,3966,3364,4562,4452
Barking and Dagenham,1961,4562,8.43,0.98,0.09,0.02,0,25,0,6,,0.166251,,36.09,164639,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1537944,4675,3966,4452,4128
Barking and Dagenham,1971,4452,8.4,0.95,0.09,0.02,0,25,0,6,,0.166251,,36.09,160656,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1537944,4562,4675,4128,4050
Barking and Dagenham,1981,4128,8.33,0.88,0.08,0.02,0,25,0,6,,0.166251,,36.09,148973,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1537944,4452,4562,4050,4543
Barking and Dagenham,1991,4050,8.31,0.87,0.08,0.02,0,25,0,6,,0.166251,,36.09,146154,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1537944,4128,4452,4543,0
Barking and Dagenham,2001,4543,8.42,0.97,0.09,0.02,0,25,0,6,,0.166251,,36.09,163944,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1537944,4050,4128,0,0
Barnet,1801,74,4.3,0.02,0,0.01,0,31,0,0,,0,,86.74,6404,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,110
Barnet,1811,86,4.46,0.02,0,0.01,0,31,0,0,,0,,86.74,7502,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,110,131
Barnet,1821,110,4.7,0.03,0,0.01,0,31,0,0,,0,,86.74,9578,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,74,131,143
Barnet,1831,131,4.87,0.04,0,0.01,0,31,0,0,,0,,86.74,11343,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,86,143,153
Barnet,1841,143,4.97,0.04,0,0.01,0,31,0,0,,0,,86.74,12436,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,110,153,261
Barnet,1851,153,5.03,0.04,0,0.01,0,31,0,0,,0,,86.74,13232,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,131,261,370
Barnet,1861,261,5.57,0.07,0.01,0.01,0,31,0,0,,0,,86.74,22675,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,143,370,479
Barnet,1871,370,5.91,0.1,0.01,0.01,0.01,31,3,3,,0.0345861,,86.74,32119,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340015,261,153,479,674
Barnet,1881,479,6.17,0.13,0.01,0.01,0.01,31,3,6,,0.0691722,,86.74,41563,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668847,370,261,674,977
Barnet,1891,674,6.51,0.18,0.01,0.01,0.01,31,0,6,,0.0691722,,86.74,58432,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668847,479,370,977,1418
Barnet,1901,977,6.88,0.27,0.02,0.01,0.01,31,0,6,,0.0691722,,86.74,84784,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668847,674,479,1418,1951
Barnet,1911,1418,7.26,0.39,0.03,0.02,0,31,1,7,,0.0807009,,86.74,123023,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776099,977,674,1951,2683
Barnet,1921,1951,7.58,0.53,0.04,0.02,0,31,0,7,,0.0807009,,86.74,169204,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776099,1418,977,2683,3140
Barnet,1931,2683,7.89,0.73,0.05,0.03,0,31,5,12,,0.1383445,,86.74,232722,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129575,1951,1418,3140,3675
Barnet,1941,3140,8.05,0.85,0.06,0.03,0,31,1,13,,0.1498732,,86.74,272356,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1396517,2683,1951,3675,3596
Barnet,1951,3675,8.21,1,0.07,0.04,0,31,0,13,,0.1498732,,86.74,318770,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1396517,3140,2683,3596,3520
Barnet,1961,3596,8.19,0.98,0.07,0.04,0,31,0,13,,0.1498732,,86.74,311951,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1396517,3675,3140,3520,3346
Barnet,1971,3520,8.17,0.96,0.07,0.04,0,31,0,13,,0.1498732,,86.74,305338,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1396517,3596,3675,3346,3458
Barnet,1981,3346,8.12,0.91,0.07,0.04,0,31,0,13,,0.1498732,,86.74,290204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1396517,3520,3596,3458,3626
Barnet,1991,3458,8.15,0.94,0.07,0.04,0,31,0,13,,0.1498732,,86.74,299934,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1396517,3346,3520,3626,0
Barnet,2001,3626,8.2,0.99,0.07,0.04,0,31,0,13,,0.1498732,,86.74,314561,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1396517,3458,3346,0,0
Bexley,1801,69,4.23,0.02,0,0,0,23,0,0,,0,,60.56,4165,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,104
Bexley,1811,85,4.45,0.02,0,0,0,23,0,0,,0,,60.56,5164,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,104,128
Bexley,1821,104,4.64,0.03,0,0,0,23,0,0,,0,,60.56,6279,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,69,128,159
Bexley,1831,128,4.85,0.04,0,0,0,23,0,0,,0,,60.56,7725,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,85,159,181
Bexley,1841,159,5.07,0.04,0,0.01,0,23,0,0,,0,,60.56,9616,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,104,181,272
Bexley,1851,181,5.2,0.05,0,0,0,23,0,0,,0,,60.56,10963,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,128,272,363
Bexley,1861,272,5.61,0.08,0.01,0.01,0,23,0,0,,0,,60.56,16477,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,159,363,454
Bexley,1871,363,5.89,0.1,0.01,0.01,0,23,0,0,,0,,60.56,21991,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,181,454,590
Bexley,1881,454,6.12,0.13,0.01,0.01,0,23,0,0,,0,,60.56,27505,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,272,590,775
Bexley,1891,590,6.38,0.16,0.01,0.01,0,23,0,0,,0,,60.56,35728,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,363,775,1017
Bexley,1901,775,6.65,0.21,0.02,0.01,0,23,0,0,,0,,60.56,46904,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,454,1017,1284
Bexley,1911,1017,6.92,0.28,0.02,0.01,0,23,0,0,,0,,60.56,61582,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,590,1284,1621
Bexley,1921,1284,7.16,0.35,0.03,0.01,0,23,0,0,,0,,60.56,77747,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,775,1621,2309
Bexley,1931,1621,7.39,0.45,0.03,0.01,0,23,0,0,,0,,60.56,98160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,1017,2309,3291
Bexley,1941,2309,7.74,0.64,0.05,0.02,0,23,0,0,,0,,60.56,139861,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,1284,3291,3437
Bexley,1951,3291,8.1,0.91,0.06,0.02,0,23,0,0,,0,,60.56,199297,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,1621,3437,3589
Bexley,1961,3437,8.14,0.95,0.07,0.03,0,23,0,0,,0,,60.56,208138,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3291,2309,3589,3539
Bexley,1971,3589,8.19,0.99,0.07,0.03,0,23,0,0,,0,,60.56,217375,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3437,3291,3539,3623
Bexley,1981,3539,8.17,0.98,0.07,0.03,0,23,0,0,,0,,60.56,214352,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3589,3437,3623,3605
Bexley,1991,3623,8.2,1,0.07,0.03,0,23,0,0,,0,,60.56,219422,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3539,3589,3605,0
Bexley,2001,3605,8.19,0.99,0.07,0.03,0,23,0,0,,0,,60.56,218307,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623,3539,0,0
Brent,1801,47,3.85,0.01,0,0,0,12,0,0,,0,,43.24,2022,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,71
Brent,1811,62,4.13,0.01,0,0,0,12,0,0,,0,,43.24,2690,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,71,92
Brent,1821,71,4.26,0.01,0,0,0,12,0,0,,0,,43.24,3074,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,47,92,125
Brent,1831,92,4.53,0.01,0,0,0,12,0,0,,0,,43.24,3991,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,62,125,131
Brent,1841,125,4.83,0.02,0,0,0,12,0,0,,0,,43.24,5416,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,71,131,341
Brent,1851,131,4.87,0.02,0,0,0,12,0,0,,0,,43.24,5646,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,92,341,552
Brent,1861,341,5.83,0.05,0.01,0,0,12,0,0,,0,,43.24,14749,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,125,552,762
Brent,1871,552,6.31,0.08,0.01,0.01,0,12,0,0,,0,,43.24,23852,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,131,762,1565
Brent,1881,762,6.64,0.11,0.01,0.01,0,12,3,3,,0.0693802,,43.24,32955,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670792,552,341,1565,2442
Brent,1891,1565,7.36,0.22,0.03,0.01,0,12,0,3,,0.0693802,,43.24,67674,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670792,762,552,2442,3812
Brent,1901,2442,7.8,0.34,0.05,0.02,0,12,2,5,,0.1156337,,43.24,105613,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1094226,1565,762,3812,4682
Brent,1911,3812,8.25,0.53,0.07,0.02,0,12,1,6,,0.1387604,,43.24,164833,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1299403,2442,1565,4682,5751
Brent,1921,4682,8.45,0.65,0.09,0.03,0,12,10,16,,0.3700278,,43.24,202448,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314831,3812,2442,5751,6426
Brent,1931,5751,8.66,0.8,0.11,0.03,0,12,0,16,,0.3700278,,43.24,248656,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314831,4682,3812,6426,7180
